Disease	Type	Country	Symptom	Transmission
Aichi virus				
Australian bat lyssavirus	virus	australia ; philippines ; oman 		saliva; contact
Banna virus				
Barmah forest virus	virus	australia 	malaise; joint pain; muscle pain	blood; oral; contact; mosquitos
BK polyomavirus	virus			
Bunyamwera virus				
Bunyavirus La Crosse				
Bunyavirus snowshoe hare				
Cercopithecine herpesvirus				
Chandipura virus				
Chikungunya virus	virus			
Cosavirus A				
Cowpox virus	virus			
Coxsackievirus	virus	china 		fecal; oral; respiratory
Crimean-Congo hemorrhagic fever virus	virus			
Dengue virus	virus	thailand ; jordan ; united kingdom ; colombia ; united states ; brazil 	vomiting; headache	blood; saliva; urine; food
Dhori virus	virus			
Dugbe virus				
Duvenhage virus				
Eastern chimpanzee simian foamy virus	virus	cameroon ; canada 		blood; oral; urine; fecal; saliva; contact
Eastern equine encephalitis virus				
Ebolavirus	virus	sudan ; uganda ; cote d'ivoire ; switzerland ; united states ; guinea ; sierra leone ; philippines ; australia ; kenya 	abdominal pain	blood; contact; food; oral
Echovirus	virus		cough	respiratory; food
Encephalomyocarditis virus				
Epstein-Barr virus	virus			
European bat lyssavirus				
GB virus C/Hepatitis G virus				
Hantaan virus				
Hendra virus	virus	australia ; jordan 	coma; congestion	blood; respiratory; contact; saliva; urine
Hepatitis A virus	virus			
Hepatitis B virus	virus	niger ; united states ; india ; mauritius ; ethiopia ; philippines ; indonesia 		urine; blood
Hepatitis C virus	virus	senegal ; burkina faso ; japan ; ghana ; cameroon ; guinea-bissau 		blood; sex; contact; food
Hepatitis delta virus	virus	united states ; netherlands 	itching	urine
Hepatitis E virus	virus			
Horsepox virus				
adenovirus	virus	israel ; turkey ; singapore ; united states ; netherlands 	obesity; weight gain; dehydration; congestion; itching; dark urine; cough; headache; fatigue; abdominal pain; diarrhoea; high fever; chills; skin rash; vomiting; runny nose; sneezing	respiratory; blood; food; fecal; oral; fomite; contact; urine
 astrovirus				
coronavirus	virus	qatar ; china ; norway ; germany ; turkey ; united kingdom ; france ; oman ; ghana ; united states ; kenya ; canada ; malaysia ; italy ; japan ; australia ; iran ; georgia ; taiwan ; saudi arabia ; chad ; spain ; jersey ; new zealand ; afghanistan ; vietnam ; ireland ; hong kong ; malı ; singapore ; pakistan ; india ; bangladesh ; indonesia ; jordan ; burma ; poland ; denmark ; albania ; israel ; russia ; turkmenistan ; netherlands ; finland ; sweden ; thailand ; belgium ; lithuania ; seychelles ; united arab emirates ; vanuatu ; croatia ; luxembourg ; philippines ; south africa ; bermuda ; panama ; cyprus ; guadeloupe ; maldives ; estonia ; tanzania ; slovenia ; botswana ; anguilla ; slovakia ; portugal ; mauritius ; latvia ; switzerland ; gibraltar ; uruguay ; san marino ; serbia ; somalia ; cayman islands ; montserrat ; zambia ; brunei ; rwanda ; virgin islands ; tonga ; greece 	diarrhoea; itching; cough; vomiting; dehydration; acute liver failure; muscle pain; chest pain; sneezing; lethargy; weight loss; bloody stool; joint pain; headache; chills; fatigue; abdominal pain; loss of smell	fecal; oral; blood; fomite; respiratory; sex; food; contact; urine; saliva
cytomegalovirus	virus	guinea 	coma	urine; saliva; contact; blood; oral; sex
enterovirus 68				
enterovirus 70				
herpesvirus 1	virus	norway ; ethiopia ; switzerland ; united states ; canada ; new zealand 	depression; bruising; cough; loss of appetite; diarrhoea; sneezing; lethargy; coma	blood; oral; respiratory; sex; contact; urine; fomite
herpesvirus 2	virus		cough	respiratory; blood
herpesvirus 6	virus	china ; chad ; japan ; italy ; oman ; united states 	acute liver failure; malaise; coma; fatigue; irritability	blood; saliva; oral; sex
herpesvirus 7	virus			
herpesvirus 8	virus		coma	
immunodeficiency virus	virus	madagascar ; uganda ; united states ; india 	coma; lethargy; fatigue	blood; sex; food; contact; saliva
papillomavirus 1				
papillomavirus 16				
papillomavirus 18				
papillomavirus 2				
parainfluenza	virus	united states ; oman 	cough	oral; fomite; respiratory; contact; urine
parvovirus B19	virus	germany ; united states 	malaise; joint pain; anxiety; high fever; headache; nausea	blood; respiratory; contact; oral
respiratory syncytial virus	virus	laos 	malaise; cough; congestion; irritability; dehydration; runny nose	blood; oral; respiratory; sex; contact
rhinovirus	virus	canada ; united states ; philippines ; nepal 	malaise; loss of appetite; cough; coma; headache; fatigue; congestion; sneezing; runny nose; muscle weakness	blood; oral; fomite; respiratory; contact
SARS coronavirus				
Human T-lymphotropic virus	virus	jamaica ; australia ; indonesia ; colombia ; japan ; united states ; oman ; cameroon ; dominican republic 		oral; blood; sex; respiratory; urine; contact
Human torovirus				
Influenza A virus	virus	china ; hong kong ; russia ; nepal ; turkey ; japan ; united states ; greece ; vietnam ; india ; croatia ; israel ; georgia ; italy ; guinea ; malta ; pakistan ; south africa ; saudi arabia ; maldives ; mexico ; morocco ; iran ; singapore ; australia ; sri lanka ; taiwan ; canada ; netherlands ; germany ; egypt ; sweden ; denmark ; ireland ; united kingdom ; slovenia ; uganda ; zimbabwe ; france ; belgium ; oman ; philippines 	cough; coma; headache; chills; sneezing; vomiting; depression	blood; respiratory; sex; food; saliva; contact; oral
Influenza B virus	virus			
